"","x"
"310",3001.45307978435
"311",4056.76650213543
"312",4262.11872355803
"313",2903.21463747218
"314",7635.77142814279
"315",5865.13321229373
"316",4205.66171923757
"317",2824.77595522534
"318",5071.72373600054
"319",6612.45083646965
"320",4812.88238838897
"321",7095.25221998565
"322",7521.81083634909
"323",7001.18535834033
"324",7760.74686667282
"325",6176.99372851755
"326",6910.05456899467
"327",2919.8923635761
"328",5649.68204516644
"329",5321.75813143112
"330",6469.5530127986
"331",4459.16367387219
"332",6855.55302378058
"333",6899.53102858644
"334",5255.61761482939
"335",3266.82136769075
"336",4483.73094937007
"337",7067.07050012174
"338",3100.89977299928
"339",5005.58462962159
"340",6639.4039857951
"341",1741.72462659574
"342",2613.40759375622
"343",5779.2079902016
"344",3012.85126681253
"345",3123.61073975498
"346",4154.06033100572
"347",5046.61776928208
"348",6805.48279568012
"349",4782.25245230744
"350",3313.11966187257
"351",8280.07063634146
"352",3539.78414075059
"353",4056.97867981746
"354",3210.82253158954
"355",4475.22918899282
"356",2661.87532662955
"357",6194.95462416456
"358",4308.36492113012
"359",4063.79531499115
"360",4199.7419250661
"361",4373.18006228126
"362",8096.32301390963
"363",5565.11048054532
"364",1765.03733710217
"365",3839.31977610965
"366",10235.846237772
"367",4806.94650290371
"368",5960.53550942766
"369",3515.33916137426
"370",4481.04706848261
"371",5232.68438626849
"372",12363.993741789
"373",5898.99674005568
"374",7601.81147342233
"375",2959.25310065591
"376",5275.33199811762
"377",4389.27353661339
"378",2734.52178690123
"379",8246.85109960852
"380",1783.13128924265
"381",8470.22672414273
"382",7053.62209304253
"383",7166.44785381685
"384",1299.44322068716
"385",7844.47906247212
"386",4632.11536208785
"387",3652.75462526962
"388",5129.80939820246
"389",7033.43748062587
"390",3801.92129515798
"391",9571.06458086445
"392",6983.13870332675
"393",11734.6362695606
"394",5785.42972892546
"395",7569.60243642121
"396",4364.9397922788
"397",6221.21898126061
"398",11062.8197250895
"399",4919.44755832816
"400",6016.49117900862
"401",11398.4720273311
"402",6742.43551553524
"403",2497.13757120207
"404",6151.83250733878
"405",9071.78201919777
"406",6052.53138988424
"407",2842.44379163894
"408",4909.58942594595
"409",3941.08313414088
"410",4341.16911942686
"411",4378.86508121144
"412",5002.83980091615
"413",3736.05435114529
"414",2956.37214648334
"415",4313.26807661873
"416",5460.55603288027
"417",7062.15408814966
"418",3686.26378523494
"419",9526.45049282664
"420",8342.46629298246
"421",2481.7555189954
"422",3684.57409432094
"423",6438.28241380415
"424",5469.9169602234
"425",2882.12661921448
"426",5321.10475267319
"427",7740.06875963026
"428",6338.70709024149
"429",4992.11958377506
"430",4936.2579763399
"431",4848.47642360884
"432",4454.98346850998
"433",9054.62530620547
"434",9027.04917815991
"435",6209.44834595307
"436",5064.21286929899
"437",3944.77356525895
"438",4486.39873315959
"439",7554.49511778471
"440",4074.51156860724
"441",3750.4063563922
"442",3092.92591525393
